smiles:,C1(=CC=CC=C1)P(=C(C=O)C)(C1=CC=CC=C1)C1=CC=CC=C1.C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC>C1(=CC=CC=C1)C>C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC

Role,Name,Smiles
reactant,2-(triphenylphosphoranylidene)propionaldehyde,C1(=CC=CC=C1)P(=C(C=O)C)(C1=CC=CC=C1)C1=CC=CC=C1
reactant,"methyl (1R,4aR,5S,8aR)-1,4a-dimethyl-6-methylene-5-(2-oxoethyl)decahydronaphthalene-1-carboxylate",C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC
solvent,toluene,C1(=CC=CC=C1)C
product,"methyl (1R,4aR,5S,8aR)-1,4a-dimethyl-5-((E)-3-methyl-4-oxobut-2-en-1-yl)-6-methylenedecahydronaphthalene-1-carboxylate",C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC

==================================================

Reaction_Data_Origin:,1_https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0
details_url:,https://kmt.vander-lingen.nl/data/reaction/profile/ed75874bf5d2a30bce3d5f54ef5aa9ac
smiles:,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC>CC(C)(C)[O-].[K+].C1CCCO1.[Cl-].[NH4+]>COC(=O)[C@@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=C)/C)C)C

Role,Name,Smiles
c1 synthon,methyltriphenylphosphonium bromide,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
reactant,"methyl (1R,4aR,5S,8aR)-1,4a-dimethyl-5-((E)-3-methyl-4-oxobut-2-en-1-yl)-6-methylenedecahydronaphthalene-1-carboxylate",C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC
non-nucleophilic base,potassium tert-butoxide,CC(C)(C)[O-].[K+]
solvent,tetrahydrofuran,C1CCCO1
quench,ammonium chloride,[Cl-].[NH4+]
